Year,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities,TotalLiabilities,FixedAssets,CWIP,Investments,OtherAssets,TotalAssets,TAD
01-03-2014,1604,22028,250139,45580,9599,328950,2978,22,103419,222531,328950,0
01-03-2015,1604,22771,275518,45838,10314,356044,3026,54,97347,255617,356044,1
01-03-2016,2059,26000,265087,70592,11537,375275,7041,481,92810,274943,375275,1
01-03-2017,2059,21204,268216,56364,14646,362488,6893,541,93075,261980,362488,1
01-03-2018,3084,18824,247777,63186,18039,350909,6350,502,91848,252208,350909,1
01-03-2019,7736,30610,227190,45288,10287,321111,7842,468,93328,219474,321111,0
01-03-2020,10381,24455,222214,36749,6901,300699,7719,488,81996,210496,300699,0
01-03-2021,10752,26876,230707,15908,14410,298653,7402,471,81471,209309,298653,0
01-03-2022,10752,31819,232850,14345,12773,302540,9587,400,83475,209078,302540,0
01-03-2023,10752,35567,255313,12638,17227,331498,9303,477,100409,221309,331498,0
01-03-2024,10752,40321,277366,17083,19138,364659,9435,108,115719,239398,364659,1
01-03-2025,10752,50868,309975,19932,21435,412962,12120,80,118453,282309,412962,1
01-09-2025,10752,57370,303212,24301,21095,416730,12033,0,123246,281451,416730,1
,,,,,,,,,,,347886,
